date,hospital,wait_time
2024-05-10,AH,1.17
2024-05-11,AH,1.02
2024-05-12,AH,1.34
2024-05-13,AH,1.46
2024-05-14,AH,0.88
2024-05-15,AH,1.72
2024-05-16,AH,1.54
2024-05-17,AH,1.49
2024-05-18,AH,1.08
2024-05-19,AH,1.37
2024-05-20,AH,1.62
2024-05-21,AH,1.5
2024-05-22,AH,0.965
2024-05-23,AH,1.82
2024-05-24,AH,1.26
2024-05-25,AH,1.43
2024-05-26,AH,1.48
2024-05-27,AH,1.73
2024-05-28,AH,1.32
2024-05-29,AH,1.3
2024-05-30,AH,1.84
2024-05-31,AH,1.13
2024-06-01,AH,1.0
2024-06-02,AH,1.3
2024-06-03,AH,2.025
2024-06-04,AH,1.54
2024-06-05,AH,1.025
2024-06-06,AH,1.6099999999999999
2024-06-07,AH,1.315
2024-06-08,AH,1.435
2024-06-09,AH,1.43
2024-06-10,AH,1.72
2024-06-11,AH,1.57
2024-06-12,AH,1.33
2024-06-13,AH,1.69
2024-06-14,AH,1.35
2024-06-15,AH,1.45
2024-06-16,AH,1.1
2024-06-17,AH,1.275
2024-06-18,AH,1.34
2024-06-19,AH,1.45
2024-06-20,AH,1.425
2024-06-21,AH,1.6
2024-06-22,AH,0.83
2024-06-23,AH,1.54
2024-06-24,AH,1.32
2024-06-25,AH,2.23
2024-06-26,AH,1.9
2024-06-27,AH,1.75
2024-06-28,AH,1.32
2024-06-29,AH,1.25
2024-06-30,AH,1.33
2024-07-01,AH,1.4
2024-07-02,AH,1.465
2024-07-03,AH,1.25
2024-07-04,AH,1.75
2024-07-05,AH,1.785
2024-07-06,AH,1.125
2024-07-07,AH,1.1
2024-07-08,AH,1.6
2024-07-09,AH,1.9
2024-07-10,AH,1.7
2024-07-11,AH,1.8
2024-07-12,AH,1.5
2024-07-13,AH,1.4
2024-07-14,AH,2.27
2024-07-15,AH,1.185
2024-07-16,AH,2.0
2024-07-17,AH,1.52
2024-07-18,AH,1.45
2024-07-19,AH,1.18
2024-07-20,AH,1.46
2024-07-21,AH,1.52
2024-07-22,AH,1.53
2024-07-23,AH,1.56
2024-07-24,AH,1.82
2024-07-25,AH,2.25
2024-07-26,AH,1.93
2024-07-27,AH,1.64
2024-07-28,AH,1.65
2024-07-29,AH,1.615
2024-07-30,AH,1.45
2024-07-31,AH,1.54
2024-08-01,AH,2.41
2024-08-02,AH,1.505
2024-08-03,AH,1.2
2024-08-04,AH,1.18
2024-08-05,AH,1.93
2024-08-06,AH,1.88
2024-08-07,AH,1.25
2024-08-08,AH,1.77
2024-08-09,AH,1.24
2024-08-10,AH,1.62
2024-08-11,AH,0.9
2024-08-12,AH,1.1749999999999998
2024-08-13,AH,1.4500000000000002
2024-08-14,AH,1.22
2024-08-15,AH,1.52
2024-08-16,AH,1.49
2024-08-17,AH,1.13
2024-08-18,AH,1.23
2024-08-19,AH,1.92
2024-08-20,AH,1.02
2024-08-21,AH,1.71
2024-08-22,AH,1.2
2024-08-23,AH,1.25
2024-08-24,AH,1.14
2024-08-25,AH,1.15
2024-08-26,AH,1.97
2024-08-27,AH,1.23499999999999
2024-08-28,AH,2.035
2024-08-29,AH,1.52
2024-08-30,AH,0.88
2024-08-31,AH,1.15
2024-09-01,AH,1.0916666666666666
2024-09-02,AH,1.3666666666666667
2024-09-03,AH,1.775
2024-09-04,AH,1.0833333333333333
2024-09-05,AH,2.0166666666666666
2024-09-06,AH,1.5833333333333333
2024-09-07,AH,1.6666666666666667
2024-09-08,AH,1.18500000005587
2024-09-09,AH,1.24805555550847
2024-09-10,AH,1.65444444440072
2024-09-11,AH,1.32333333333372
2024-09-12,AH,1.88583333333372
2024-09-13,AH,1.67388888885034
2024-09-14,AH,0.745277777896262
2024-09-15,AH,1.1490277777193114
2024-09-16,AH,1.5722222221666016
2024-09-17,AH,1.5833333332557231
2024-09-18,AH,1.162499999947613
2024-09-19,AH,1.2483333333511837
2024-09-20,AH,1.6123611110961065
2024-09-21,AH,1.509166666714009
2024-09-22,AH,1.1148611110984348
2024-09-23,AH,1.7143055555352475
2024-09-24,AH,1.4538888889364898
2024-09-25,AH,1.1591666666208766
2024-09-26,AH,1.4699999999720603
2024-09-27,AH,1.0752777776797302
2024-09-28,AH,1.0911111111345235
2024-09-29,AH,0.85
2024-09-30,AH,1.4333333333333333
2024-10-01,AH,1.5
2024-10-02,AH,1.6
2024-10-03,AH,1.4833333333333334
2024-10-04,AH,1.5333333333333334
2024-10-05,AH,1.3
2024-10-06,AH,1.21
2024-10-07,AH,1.46
2024-10-08,AH,1.93
2024-10-09,AH,1.9
2024-10-10,AH,1.62
2024-10-11,AH,0.9
2024-10-12,AH,1.53
2024-10-13,AH,1.16
2024-10-14,AH,1.63
2024-10-15,AH,1.51
2024-10-16,AH,1.65
2024-10-17,AH,1.17
2024-10-18,AH,1.62
2024-10-19,AH,0.93
2024-10-20,AH,1.53888888889923
2024-10-21,AH,1.03888888884102
2024-10-22,AH,1.24347222215146
2024-10-23,AH,1.21888888883404
2024-10-24,AH,1.6438888888224
2024-10-25,AH,1.60972222220152
2024-10-26,AH,1.07666666663135
2024-10-27,AH,1.1416666666666666
2024-10-28,AH,1.25
2024-10-29,AH,2.325
2024-10-30,AH,1.675
2024-10-31,AH,0.8916666666666667
2024-11-01,AH,1.9333333333333333
2024-11-02,AH,1.6
2024-11-03,AH,1.4148611110285856
2024-11-04,AH,1.3144444445497356
2024-11-05,AH,1.5352777778171003
2024-11-06,AH,1.785000000090804
2024-11-07,AH,1.496249999909196
2024-11-08,AH,1.4883333334000781
2024-11-09,AH,1.2355555555550382
2024-11-10,AH,1.64
2024-11-11,AH,1.31
2024-11-12,AH,0.95
2024-11-13,AH,1.13
2024-11-14,AH,1.31
2024-11-15,AH,1.81
2024-11-16,AH,1.44
2024-11-17,AH,1.35
2024-11-18,AH,1.75
2024-11-19,AH,1.2833333333333334
2024-11-20,AH,1.7916666666666667
2024-11-21,AH,1.8
2024-11-22,AH,1.2166666666666666
2024-11-23,AH,1.4
2024-11-24,AH,0.519166666665114
2024-11-25,AH,1.34638888895278
2024-11-26,AH,1.51875000001746
2024-11-27,AH,1.22986111108912
2024-11-28,AH,1.20291666663251
2024-11-29,AH,1.460694444424
2024-11-30,AH,1.72486111120088
2024-12-01,AH,1.3377777777495794
2024-12-02,AH,1.655277777754236
2024-12-03,AH,1.4344444444868714
2024-12-04,AH,1.2288888889015652
2024-12-05,AH,1.8336111110402271
2024-12-06,AH,1.431388888915535
2024-12-07,AH,1.6030555555480532
2024-12-08,AH,1.4
2024-12-09,AH,1.81
2024-12-10,AH,1.69
2024-12-11,AH,1.74
2024-12-12,AH,1.17
2024-12-13,AH,1.22
2024-12-14,AH,1.05
2024-12-15,AH,1.56055555556667
2024-12-16,AH,2.12319444440072
2024-12-17,AH,2.47166666670818
2024-12-18,AH,2.01152777782408
2024-12-19,AH,2.21777777775423
2024-12-20,AH,1.37361111107748
2024-12-21,AH,1.62569444449036
2024-12-22,AH,1.335
2024-12-23,AH,1.33
2024-12-24,AH,1.2149999999999999
2024-12-25,AH,1.13
2024-12-26,AH,1.56
